date_de_tirage,boules_gagnantes_en_ordre_croissant,etoiles_gagnantes_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance_1,numero_chance_2
2019-09-10,-3-22-25-30-49-,-3-6-,3,30,49,25,22,3,6
2019-09-13,-1-12-27-42-47-,-6-7-,12,1,42,47,27,6,7
2019-09-17,-22-37-43-44-45-,-1-12-,22,45,43,44,37,1,12
2019-09-20,-8-21-25-38-50-,-4-8-,25,50,21,38,8,4,8
2019-09-24,-2-33-42-47-48-,-1-2-,2,48,33,47,42,1,2
2019-09-27,-24-37-41-43-46-,-2-8-,46,43,41,37,24,8,2
2019-10-01,-2-11-18-40-46-,-1-4-,40,18,11,2,46,4,1
2019-10-04,-6-9-35-41-44-,-6-9-,44,41,35,9,6,9,6
2019-10-08,-7-10-15-44-49-,-3-12-,44,15,49,10,7,3,12
2019-10-11,-2-14-19-42-45-,-5-6-,42,45,19,2,14,5,6
2019-10-15,-3-28-31-32-34-,-4-5-,3,34,31,32,28,4,5
2019-10-18,-8-18-22-41-42-,-11-12-,18,22,42,41,8,11,12
2019-10-22,-2-5-32-33-47-,-7-8-,2,5,33,47,32,7,8
2019-10-25,-34-37-39-40-50-,-4-10-,37,50,34,39,40,4,10
2019-10-29,-16-18-28-42-49-,-5-10-,49,42,28,16,18,10,5
2019-11-01,-2-20-39-44-48-,-5-7-,39,2,44,20,48,5,7
2019-11-05,-9-14-25-33-48-,-2-12-,25,14,33,9,48,12,2
2019-11-08,-8-17-20-23-45-,-2-8-,20,8,45,23,17,2,8
2019-11-12,-1-21-23-25-39-,-2-4-,1,25,21,39,23,2,4
2019-11-15,-3-13-20-32-34-,-4-11-,20,13,34,3,32,4,11
2019-11-19,-8-10-15-30-42-,-4-6-,10,15,42,30,8,4,6
2019-11-22,-3-21-32-34-48-,-3-11-,3,48,32,34,21,3,11
2019-11-26,-2-3-15-19-34-,-5-8-,34,3,15,2,19,5,8
2019-11-29,-3-7-12-42-50-,-6-8-,50,42,12,3,7,6,8
2019-12-03,-18-31-32-38-48-,-4-12-,32,31,38,18,48,12,4
2019-12-06,-1-3-27-39-46-,-1-10-,46,1,39,3,27,1,10
2019-12-10,-2-10-19-21-47-,-2-8-,19,47,21,2,10,8,2
2019-12-13,-9-16-18-23-32-,-2-10-,16,9,23,18,32,2,10
2019-12-17,-1-7-12-25-49-,-6-9-,7,1,12,25,49,9,6
2019-12-20,-8-24-30-32-34-,-3-4-,8,24,32,34,30,3,4
2019-12-24,-3-11-13-14-47-,-3-6-,47,14,11,13,3,3,6
2019-12-27,-1-7-22-26-35-,-5-10-,22,26,35,7,1,5,10
2019-12-31,-26-31-33-41-48-,-2-4-,41,31,48,33,26,4,2
2020-01-03,-5-15-20-36-47-,-8-12-,15,5,20,47,36,12,8
